"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
"2004","ALABAMA","AL","PIKE","01109","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","7483","11883","20250821","TOTAL"
"2004","ALABAMA","AL","PIKE","01109","US PRESIDENT","JOHN KERRY","DEMOCRAT","4334","11883","20250821","TOTAL"
"2004","ALABAMA","AL","PIKE","01109","US PRESIDENT","OTHER","OTHER","66","11883","20250821","TOTAL"
"2004","ALABAMA","AL","RANDOLPH","01111","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","6127","9001","20250821","TOTAL"
"2004","ALABAMA","AL","RANDOLPH","01111","US PRESIDENT","JOHN KERRY","DEMOCRAT","2817","9001","20250821","TOTAL"
"2004","ALABAMA","AL","RANDOLPH","01111","US PRESIDENT","OTHER","OTHER","57","9001","20250821","TOTAL"
"2004","ALABAMA","AL","RUSSELL","01113","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","8337","16809","20250821","TOTAL"
"2004","ALABAMA","AL","RUSSELL","01113","US PRESIDENT","JOHN KERRY","DEMOCRAT","8375","16809","20250821","TOTAL"
"2004","ALABAMA","AL","RUSSELL","01113","US PRESIDENT","OTHER","OTHER","97","16809","20250821","TOTAL"
"2004","ALABAMA","AL","SHELBY","01117","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","63435","78906","20250821","TOTAL"
"2004","ALABAMA","AL","SHELBY","01117","US PRESIDENT","JOHN KERRY","DEMOCRAT","14850","78906","20250821","TOTAL"
"2004","ALABAMA","AL","SHELBY","01117","US PRESIDENT","OTHER","OTHER","621","78906","20250821","TOTAL"
"2004","ALABAMA","AL","ST. CLAIR","01115","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","23500","29161","20250821","TOTAL"
"2004","ALABAMA","AL","ST. CLAIR","01115","US PRESIDENT","JOHN KERRY","DEMOCRAT","5456","29161","20250821","TOTAL"
"2004","ALABAMA","AL","ST. CLAIR","01115","US PRESIDENT","OTHER","OTHER","205","29161","20250821","TOTAL"
"2004","ALABAMA","AL","SUMTER","01119","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","1880","6433","20250821","TOTAL"
"2004","ALABAMA","AL","SUMTER","01119","US PRESIDENT","JOHN KERRY","DEMOCRAT","4527","6433","20250821","TOTAL"
"2004","ALABAMA","AL","SUMTER","01119","US PRESIDENT","OTHER","OTHER","26","6433","20250821","TOTAL"
"2004","ALABAMA","AL","TALLADEGA","01121","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","18331","29898","20250821","TOTAL"
"2004","ALABAMA","AL","TALLADEGA","01121","US PRESIDENT","JOHN KERRY","DEMOCRAT","11374","29898","20250821","TOTAL"
"2004","ALABAMA","AL","TALLADEGA","01121","US PRESIDENT","OTHER","OTHER","193","29898","20250821","TOTAL"
"2004","ALABAMA","AL","TALLAPOOSA","01123","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","12392","17952","20250821","TOTAL"
"2004","ALABAMA","AL","TALLAPOOSA","01123","US PRESIDENT","JOHN KERRY","DEMOCRAT","5451","17952","20250821","TOTAL"
"2004","ALABAMA","AL","TALLAPOOSA","01123","US PRESIDENT","OTHER","OTHER","109","17952","20250821","TOTAL"
"2004","ALABAMA","AL","TUSCALOOSA","01125","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","42877","69830","20250821","TOTAL"
"2004","ALABAMA","AL","TUSCALOOSA","01125","US PRESIDENT","JOHN KERRY","DEMOCRAT","26447","69830","20250821","TOTAL"
"2004","ALABAMA","AL","TUSCALOOSA","01125","US PRESIDENT","OTHER","OTHER","506","69830","20250821","TOTAL"
"2004","ALABAMA","AL","WALKER","01127","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","19167","28367","20250821","TOTAL"
"2004","ALABAMA","AL","WALKER","01127","US PRESIDENT","JOHN KERRY","DEMOCRAT","9016","28367","20250821","TOTAL"
"2004","ALABAMA","AL","WALKER","01127","US PRESIDENT","OTHER","OTHER","184","28367","20250821","TOTAL"
"2004","ALABAMA","AL","WASHINGTON","01129","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","5060","8247","20250821","TOTAL"
"2004","ALABAMA","AL","WASHINGTON","01129","US PRESIDENT","JOHN KERRY","DEMOCRAT","3145","8247","20250821","TOTAL"
"2004","ALABAMA","AL","WASHINGTON","01129","US PRESIDENT","OTHER","OTHER","42","8247","20250821","TOTAL"
